Serial_no,Date_of_Read,Author_of_book,Name_of_book,Year_Published,No_of_pages,Rating
1150,01-11-2011,"Niobe Way","Deep Secrets",2011,326,0
1151,01-11-2011,"Vladmir Nabokov",Pnin,1953,143,2
1152,01-12-2011,"Erik Larson","In The Garden Of Beasts",2011,448,5
1153,01-12-2011,"Elie Wiesel",Night,1958,115,1
1154,01-01-2012,"Sanford D. Greenberg","Even This",1953,100,3
1155,01-01-2012,"Nikolai Gogol","The Garden Squabble",1835,119,2
1156,01-02-2012,"Albert Goldman, Lawrence Schiller","Ladies and Gentlemen: Lenny Bruce!",1971,700,2
1157,01-03-2012,"Muriel Barbery","The Elegance of the Hedgehog",2006,325,4
1158,01-03-2012,"Scotty Bowers","Full Service",2012,288,5
1159,01-03-2012,"Laura Hillenbrand",Unbroken,2010,492,2
1160,01-04-2012,"Emile Zola",Nana,1880,473,0
1161,01-04-2012,"Julie Otsuka","The Buddha in the Attic",2011,129,2
1162,01-04-2012,"Timothy L. Hoffmann","Gone for a Ride",2007,100,1
1163,01-06-2012,"E.L. James","Fifty Shades of Grey",2011,356,5
1164,01-06-2012,"Vladimir Nabokov","Pale Fire",1959,246,5
1165,01-07-2012,"Benjamin Grahanm, Jason Zweig","The Intelligent Investor",2003,623,1
1166,01-07-2012,"P.G. Wodehouse","Uncle Fred in the Springtime",1939,240,4
1167,01-07-2012,"Julie Rugg, Linda Murphy","A Book Addict's Treasury",2006,240,3
1168,01-07-2012,"Graham Greene","The Heart of the Matter",1948,272,3
1169,01-07-2012,"Johann Wolfgang von Goethe","The Man of Fifty",1818,70,1
1170,01-08-2012,"Roger Collins","Early Medieval Europe 300-1000",1991,533,0
1171,01-08-2012,"Tom Wolfe","I Am Charlotte Simmons",2004,738,4
1172,01-09-2012,"Malcolm Gladwell",blink,2005,400,1
1173,01-09-2012,"Saul Bellow","Seize the Day",1956,114,3
1174,01-09-2012,"Lee Hausner","Children of Paradise",1990,275,4
1175,01-11-2012,"William Carlos Williams","In the American Grain",1925,234,0
1176,01-11-2012,"Michael Shaara","The Killer Angels",1974,13,2
1177,01-11-2012,"Elisabeth Tova Bailey","The Sound of a Wild Snail Eating",2010,208,4
1178,01-12-2012,"Henry Kissinger","On China",2011,608,3
1179,01-12-2012,"George Eliot","Felix Holt: The Radical",1866,545,4
1180,01-02-2013,"William Manchester","Winston Spencer Churchill The Last Lion Part 2 - Alone. 1932-40",1988,992,5
1181,01-02-2013,"Robert D. Kaplan","The Revenge of Geography",2012,432,4
1182,01-03-2013,"Mario Puzo","The Fortunate Pilgrim",1964,304,4
1183,01-03-2013,"Nancy Mitford","Voltaire in Love",1957,288,0
1184,01-03-2013,"David Barash","Revolutionary Biology - The New Gene- Centered View of Life",2001,222,0
1185,01-04-2013,"Robert K Massie","Catherine the Great",2011,625,5
1186,01-04-2013,"Elizabeth Bowen","The House in Paris",1935,269,1
1187,01-05-2013,"Mason Currey","Daily Rituals - How Artists Work",2013,278,1
1188,01-06-2013,"Emil Ludwig","Genius and Character",1927,346,1
1189,01-07-2013,"Phillippe Burrin","France Under the Germans",1995,512,3
1190,01-08-2013,"Bruno Schulz","The Street of Crocodiles",1934,160,0
1191,01-08-2013,"Donald Shepherd","Bing Crosby - The Hollow Man",1981,150,0
1192,01-09-2013,"Barbara W. Tuchman","A Distant Mirror",1978,714,5
1193,01-10-2013,"Witold Gombrowicz",Cosmos,1967,208,5
1194,01-11-2013,"Charles C. Mann",1493,2011,557,5
1195,01-11-2013,"Philip K. Dick","Do Androids Dream of Eletric Sheep?",1968,258,2
1196,01-12-2013,"Marianne Williamson","The Law of Divine Compensation",2012,208,2
1197,01-02-2014,"Margaret Macmillan","The War That Ended Peace",2013,739,3
1198,01-02-2014,"Herman Melville","Benito Cereno",1855,160,0
1199,01-02-2014,"Anton Chekhov","The Duel",1891,128,5
1200,01-03-2014,"Don DeLillo",Cosmopolis,2003,224,3
1201,01-05-2014,"Victoria Wilson","A Life of Barbara Stanwyck",2013,1044,1
1202,01-06-2014,"Julie Orringer","The Invisible Bridge",2010,786,0
1203,01-07-2014,"Jonathan Lethem","Dissident Gardens",2013,366,3
1204,01-08-2014,"Ernst Fischer, Carol Lipson","Thinking About Science:Max Delbruck & the Origins of Molecular Biology",1988,334,3
1205,01-08-2014,"Marilynne Robinson","When I Was A Child I Read Books",2012,224,0
1206,01-08-2014,"Alice Munro","Dear Life",2012,336,4
1207,01-09-2014,"Louisa May Alcott","Little Women",1868,449,2
1208,01-09-2014,"J.L. Carr","A Month in the Country",1980,135,2
1209,01-10-2014,"Henry Kissinger","World Order",2014,420,3
1210,01-11-2014,"James Fenimore Cooper","The Deerslayer",1841,576,0
1211,01-12-2014,"Leo Tolstoy","The Kingdom of God is Within You",1893,352,3
1212,01-01-2015,"Edmund Wilson","The Fifties",1986,663,1
1213,01-01-2015,"Anjelica Huston","Watch Me",2014,400,3
1214,01-02-2015,"Phil Klayn",Redeployment,2014,288,1
1215,01-03-2015,"Ivan Turgenev","Virgin Soil",1877,355,5
1216,01-06-2015,"Karl Ove Knausgaard","My Struggle",2009,448,3
1217,01-06-2015,"Patrick Leigh Fermor","A Time of Gifts",1977,321,0
1218,01-07-2015,"Randall Jarrell","Pictures From An Institution",1952,286,3
1219,01-07-2015,"Howard Felperin","In Another Life",2014,225,1
1220,01-07-2015,"Thomas Beer","The Mauve Decade",1926,272,1
1221,01-09-2015,"Charles Dickens","Little Dorrit",1857,1347,5
1222,01-11-2015,"Judith Viorst","Grown-Up Marriage",2003,304,0
1223,01-11-2015,"Ron Chernov","Alexander Hamilton",2004,818,2
1224,01-11-2015,"Jeff Fromm","Marketing to Millennials",2013,224,4
1225,01-12-2015,"James Gavin","Deep in a Dream. The Long Night of Chet Baker",2002,448,3
1226,01-12-2015,"Honore de Balzac","The Wrong Side of Paris",1845,272,3
1227,01-01-2016,"Steve Silberman","NeuroTribes.The Legacy of Autism",2016,477,4
1228,01-01-2016,"Honore de Balzac","The Human Comedy",1840,428,3
1229,01-01-2016,"Buzz Bissinger","Three Nights in August",2005,287,5
1230,01-02-2016,"Kostya Kennedy","Pete Rose. An American Dilemma",2016,352,4
1231,01-03-2016,"Michael Lewis",Moneyball,2003,317,2
1232,01-04-2016,"Jonathan Franzen",Freedom,2010,562,2
1233,01-05-2016,"Morris Dickstein","Why Not Say What Happened",2015,320,3
1234,01-05-2016,"Stepen Greenblatt","The Swerve",2011,356,3
1235,01-06-2016,"William Shakespeare","The Tempest",1611,355,1
1236,01-06-2016,"Bill Read","The Days of Dylan Thomas",1964,100,1
1237,01-07-2016,"R.D. Blackmore","Lorna Doone",1869,800,4
1238,01-07-2016,"Albert Schweitzer","J.S. Bach vol.two.",1911,512,2
1239,01-08-2016,"Madeline Levine","The Prince of Privilege",2006,256,3
1240,01-08-2016,"Hilton Als","White Girls",2014,344,4
1241,01-09-2016,"Barbara Tuchman","The Guns of August",2014,606,2
1242,01-10-2016,"Mary Karr","The Art of Memoir",2015,225,5
1243,01-10-2016,"Flannery O'Connor","Everything That Rises Must Converge",1965,269,2
1244,01-11-2016,"Isaac Bashevis Singer","A Crown of Feathers",1973,342,2
1245,01-11-2016,"Robert Gottlieb","Avid Reader",2016,352,0
1246,01-12-2016,"Rabbi Shalom Arush","The Garden of Peace",2008,150,5
1247,01-01-2017,"Erik Larson","The Devil in the White City",2003,447,0
1248,01-02-2017,"Paula Hawkins","The Girl on the Train",2015,325,0
1249,01-03-2017,"Oliver Sacks","The Last Interview",2016,220,4
1250,01-03-2017,"Charles Nordhoff, James Norman Hall","Mutiny On the Bounty",1932,400,5
1251,01-03-2017,"John Sutherland","A Little History Of Literature",2013,276,4
1252,01-04-2017,"Frances Kroll Ring","Against The Current",1985,155,3
1253,01-04-2017,"James Baldwin","Giovanni's Room",1956,159,2
1254,01-04-2017,"Jimmy Webb","The Cake And The Rain",2017,159,1
1255,01-04-2017,"J.D. Salinger","The Last Interview",2016,208,2
1256,01-04-2017,"Timothy Snyder","On Tyranny",2017,126,2
1257,01-06-2017,"Donald Trump","Trump The Art of the Deal",1986,384,1
1258,01-06-2017,"Joseph J. Ellis","American Sphinx: The Character Of Thomas Jefferson",1996,440,2
1259,01-06-2017,"James Baldwin","The Fire Next Time",1962,106,4
1260,01-07-2017,"John Julius Norwich","Four Princes",2016,304,3
1261,01-08-2017,"Lisa Hilton",Elizabeth,2014,400,4
1262,01-08-2017,"Erich Maria Remarque","All Quiet On The Western Front",1928,256,0
1263,01-09-2017,"Friedrich Nietzsche",Anti-Education,1872,160,3
1264,01-09-2017,"Al Franken","Giant Of The Senate",2017,304,3
1265,01-10-2017,"Elena Ferrante","The Days Of Abandonment",2002,188,1
1266,01-10-2017,"Fyodor Dostoyevsky","Netochka Nezvanova",1849,176,4
1267,01-12-2017,"Franz Kafka",Konundrum,1914,381,3
1268,01-12-2017,"Elizabeth Strout","My Name Is Lucy Barton",2016,193,4
1269,01-12-2017,Cicero,"How To Grow Old",44bc,196,4
1270,01-01-2018,"Domenico Starnone",Ties,2014,150,4
1271,01-02-2018,"Michael Wolff","Fire and Fury",2018,322,1
1272,01-05-2018,"Craig Pittman","Oh Florida!",2016,320,4
1273,01-06-2018,"Madeleine Albright","Facism - a warning",2018,304,5
1274,01-06-2018,"Adele Faber & Elaine Mazlish","How to Talk So Kids Will Listen & How to Listen So Kids Will Talk",1980,286,1
1275,01-06-2018,"John Steinbeck","Of Mice and Men",1937,103,2
1276,01-06-2018,"Julian Barnes","The Sense of an Ending",2011,150,5
1277,01-07-2018,"Robert Hilburn","Paul Simon, The Life",2018,448,2
1278,01-08-2018,"J. Edgar Hoover","Masters of Deceit",1958,384,3
1279,01-08-2018,"Gabriel Garcia Marquez","The Story of a Shipwrecked Sailor",1986,128,4
1280,10-07-1905,"Peter Catapano","Modern Ethics in 77 Arguments",2017,464,2
1281,10-07-1905,"Ruth Bader Ginsburg","In Her Own Words",2018,206,4
1282,10-07-1905,"Bob Woodward",Fear,2013,448,0
1283,10-07-1905,"Ayn Rand","The Fountainhead",1943,752,0
1284,10-07-1905,"Robert Parker","The Widening Gyre",1983,183,0
1285,10-07-1905,"Anthony Doerr","All the Light We Cannot See",2014,531,3
1286,10-07-1905,"Alan Jacobs","How to Think",2017,160,1
1287,11-07-1905,"Cormac McCarthy","The Road",2006,241,2
1288,11-07-1905,"Bill O'Reilly","Killing the SS",2018,307,2
1289,11-07-1905,"Stephen Kinzer","The True Flag",2017,307,1
1290,11-07-1905,"Marianne Williamson","Healing the Soul of America",1997,288,1
1291,11-07-1905,"Eric Kandel","The Disordered Mind",2018,304,0
1292,11-07-1905,"Bill Bryson","A Walk in the Woods",1981,397,4
1293,11-07-1905,"Naomi Klein","No Is Not Enough",2017,273,4
1294,11-07-1905,"Paul Collins","Duel With The Devil",2013,304,2
1295,11-07-1905,"Cliff Sims","Team of Vipers",2019,384,5
1296,11-07-1905,"Jim Mattis, Bing West","Call Sign Chaos",2019,320,5
1297,11-07-1905,"Margaret Attwood","The Handmaid's Tale",1986,350,1
1298,11-07-1905,"Gelett Burgess","Have You an Educated Heart",1923,57,3
1299,12-07-1905,"David Talbot","The Devil’s Chessboard, Allen Dulles, the CIA and the Rise of America’s Secret Government",2015,704,5
1300,12-07-1905,"Erik Larson","The Splendid and the Vile",2020,546,3
1301,12-07-1905,"Viktor E. Frankl","Yes to Life",2019,144,5
1302,12-07-1905,"Sanford D. Greenberg","Hello Darkness, My Old Friend",2020,240,2
1303,12-07-1905,"Mary L. Trump","Too Much and Never Enough",2020,236,1
1304,12-07-1905,"Doris Kearns Goodwin",Leadership,2020,397,5
1305,12-07-1905,"David Mikie","Stanley Kubrick",2020,248,3
1306,12-07-1905,"Julie Satow","The Plaza",2019,358,4
1307,12-07-1905,"Ash Carter and Sam Kashner","Life Isn’t Everything – Mike Nichols as Remembered by 150 of His Closest Friends ",2019,368,2
1308,13-07-1905,"Ruth Ben-Ghiat","Strongmen (Mussolini to the Present) ",2019,384,5
1309,01-07-2021,"Mark Harris","Mike Nichols A Life",2021,688,0
1310,01-08-2021,"David S. Brown","The Last American Aristocrat ",2020,464,4
1311,01-09-2021,P.G.Wodehouse,"Jeeves and the Feudal Sprit ",1954,231,3
1312,01-09-2021,"Margaret MacMillan","Paris ",1919,624,3
1313,01-09-2021,"Charles Terry","The Music of Bach ",1963,100,5
1314,01-10-2021,"Bernard Shaw","Pygmalion ",1913,82,2
1315,01-10-2021,"Jo Giese","Never Sit if You Can Dance ",2019,144,2
1316,01-10-2021,"Bob Woodward, Robert Costa","Peril ",2021,512,4
1317,01-12-2021,"Amor Towles","A Gentleman in Moscow ",2016,462,0
1318,01-12-2021,"Mel Brooks","All About Me! ",2021,480,3
1319,01-01-2022,"James Michener","Caravans ",1963,320,4
1320,01-01-2022,"Abraham Lincoln","The Spiritual Growth of a Public Man ",1973,47,2
1321,01-02-2022,"Joe Scarborough","Saving Freedom ",2020,272,2
